,district,rooms,size,level,max_levels,price,kocha_grouped
2081,Яккасарайский,2,83.0,5,7,77000.0,other_very_high
2082,Мирабадский,3,75.0,6,9,103000.0,ЦУМ (Ц-7) 
2083,Яккасарайский,4,105.0,1,9,67000.0,other_high
2084,Мирабадский,2,40.0,1,1,23500.0,
2085,Мирзо-Улугбекский,2,60.0,2,4,78000.0,ц-2 Олой (Ц-2) 
2086,Мирабадский,1,38.0,2,9,38000.0,ГОСПИТАЛЬНЫЙ
2087,Яккасарайский,5,215.0,8,9,165000.0,other_very_high
2088,Юнусабадский,3,105.0,3,4,69000.0,other_high
2089,Мирабадский,2,90.0,9,12,65000.0,ГОСПИТАЛЬНЫЙ
2090,Мирабадский,3,75.0,9,9,56000.0,other_high
2091,Мирабадский,3,125.0,4,9,130000.0,ЦУМ (Ц-7) 
2092,Мирабадский,2,75.0,3,9,91000.0,ЦУМ (Ц-7) 
2093,Мирабадский,2,80.0,1,9,88000.0,other_very_high
2094,Мирабадский,3,75.0,9,9,80000.0,other_very_high
2095,Яккасарайский,3,80.0,11,16,48000.0,other_medium
2096,Мирабадский,2,53.0,3,4,54000.0,Тараса Шевченко
2097,Яшнободский,3,140.0,2,4,140000.0,other_very_high
